mistreat хозяйка
demerge разъединяться
tail-lock нижний
water-cart цистерна
snippy обрывочный
granitic гранитный
obtestation заклинание
unrighteousness нечестивость
sulpha лекарственные
buster что-л
unshapely бесформенный
nodular узелковый
homeland отечество
order-book книга
pea-coat бушлат
stickpin булавка
worcs вустершир
handcar дрезина
sixth шестой
isolate изолировать
winter-tide зима
interpenetrate глубоко
pabulum пища
leadline лотлинь
sixty шестьдесят
contain содержать
founder основатель
splendent блестящий
kadi кафр
lithuanian литовский
styptic кровоостанавливающий
self-pity жалость
feigningly притворно
wordy многословный
fribble бездельник
tmesis тмезис
psychometric психометрический
introspective интроспективный
glowing раскаленный
fixation фиксация
shortbread песочное
spider паук
sea-green цвет
transliteration транслитерация
unwisdom глупость
larder кладовая
rephrase перефразировать
fox-brush лисий
parti партия
curability излечимость
humorous юмористический
vehement сильный
impenetrability непроходимость
commander-in-chief главнокомандующий
mingle-mangle смесь
church-text английский
igloo иглу
contact соприкосновение
two-fisted неуклюжий
purdah занавеска
demobilization демобилизация
landing-stage пристань
rearwards назад
prospective будущий
typewrite писать
grown-up взрослый
detachable съемный
dishonest нечестный
fixative фиксирующий
eclecticism эклектизм
splat звук
cowman рабочий
moustachioed усатый
splay скос
telegraph-line телеграфная
anxiety беспокойство
in-patient стационарный
craniometry измерение
party партия
decoy-duck манок
invidious вызывающий
omul омуль
clapperclaw царапать
self-murder самоубийство
visiting посещающий
viewy чудаковатый
scintillation сверкание
depress подавлять
mortmain владение
homeward ведущий
faceless безликий
centre-section центроплан
brigade бригада
charcoal-burner угольщик
demerit недостаток
diffident неуверенный
helot илот
nonius нониус
hardwood твердая
historic исторический
housefather глава
occultist оккультист
cavendish плиточный
self- self-
shaving-brush кисточка
false ложный
organ-blower раздувальщик
wearing предназначенный
paperless безбумажный
weasel ласка
parse разбор
hennery птицеферма
occultism оккультизм
enteric брюшной
ruckus шум
parry отражение
descry рассмотреть
fragrance аромат
candour искренность
farmer фермер
developer застройщик
bolus большая
improvable поддающийся
postural относящийся
wormy червивый
stopple затычка
mechanical инженер-механик
brigand разбойник
reiterative повторяющийся
rerun повторный
pastorate пасторат
fatigue усталость
illimitable неограниченный
hickory-shirt рубашка
warranty основание
neurosis невроз
chariness осторожность
electropositive электроположительный
unpronounceable непроизносимый
peep-show кинетоскоп
jack-plane шерхебель
agribusiness сельскохозяйственный
cabala маленький
vain тщетный
waygoing прощание
spinneret рощица
guttural гортанный
unrealizable неосуществимый
largeness большой
ionize ионизировать
mountaineer альпинист
pulpy мягкий
dew-claw рудиментарный
near-sightedness близко
economize экономить
gladden радовать
vail склонять
hello телефонистка
quarter-day день
benthamite утилитарист
dubiety сомнение
bacterium бактерия
gerry предвыборные
judgement приговор
refulgence сияние
works завод
inadaptability неприспособленность
keep-fit поддержание
constrictor констриктор
stupor оцепенение
lugubrious печальный
afters второе
reverential мечтательность
gaffe оплошность
vale дол
world мир
composed спокойный
ersatz эрзац
reproachful укоризненный
astronomer астроном
guardian опекун
urgent срочный
fanatic фанатик
kettle-drum литавра
expansionism экспансионизм
unsound нездоровый
kali окись
shake-rag оборванец
titivate прихорашивать
preppy учащийся
duteous подлежащий
disembark высаживать
bissextile високосный
composer композитор
frequenter постоянный
skewer небольшой
huckaback льняное
frog-in-the-throat хрипота
photomicrograph микрофотографический
slowcoach медлительный
flash-house притон
overmuch чрезмерно
liveryman член
black-head угорь
aberdevine чечетка
condescend снисходить
mercurial ртутный
transitory мимолетный
niminy-piminy жеманный
kale капуста
married женатый
disburse платить
living-space жизненное
ruckle складка
vertebra позвонок
outrage грубое
diffuse рассеянный
riviere ожерелье
stepchild пасынок
timbre тембр
telpher тельфер
palaeontologist палеонтолог
split раскалывание
fee-faw-fum восклицание
introversion сосредоточенность
vane флюгер
helix спираль
publication опубликование
adequacy соответствие
borstal подросток
sardonic сардонический
banqueting зал
choke-damp удушливый
irtish р
flubdub колебаться
different другой
grenade граната
grenada гренада
sordid грязный
antaeus антей
chieftaincy положение
condonation терпимость
spoke-bone лучевая
videophone видеотелефон
kans канзас
preserve консервы
shamefaced застенчивый
tirol ткань
nudism нудизм
vamp передок
oregon орегон
turnery токарное
jeopardize рисковать
seigniorage право
cossack казак
bomb-destroy бомбить
pantaloon брюки
cold-shoulder оказывать
mastiff мастифф
hog-wash пойло
herbarium гербарий
juliana джулиана
gas-meter газовый
astounding поразительный
frillies нижние
oil-stone оселок
decachord десятиструнная
consumers потребительский
loser теряющий
reiteration повторение
foretoken плохое
blunge мять
economist экономист
michaelmas михайлов
clockwise движущийся
raised поставленный
surmountable преодолимый
earth земля
equilateral равносторонний
pastorale муз
air-proof воздушный
pulse пульс
reversibility обратимость
descriptive описательный
hereditary наследственный
inflict наносить
stumble спотыкание
muskeg озерное
penstock шлюз
undeservedly незаслуженно
pinafore передник
toll-free свободный
vary менять
spiritualism спиритуализм
threatening угрожающий
anneal отжигать
insensitive нечувствительный
musket мушкет
underhanded выступающий
episode эпизод
vase ваза
carpathians карпатские
somewhere где-то
blind-man жмурки
cannoneer канонир
environ окружать
objective цель
scene место
self-centering самоцентрирующийся
streaker стрикер
scent запах
aileron элерон
splay-foot косолапый
adjunct приложение
exhibit экспонат
cingalese сингальский
gladiatorial гладиаторский
sycophant льстец
merchantable ходкий
letter-weight почтовые
artilleryman артиллерист
spirituality духовность
accept принимать
day-boy ученик
grosbeak дубонос
yearning сильное
unsheltered неприкрытый
powwow знахарь
collie колли
dandiacal щегольски
kara карское
moneywort вербейник
redeemer избавитель
lords светские
rancher хозяин
affront публичное
underwater подземные
roughage грубые
home-made домашнего
sermonize проповедовать
access доступ
denotation обозначение
nubbly узловатый
phosphor утренняя
allspice гвоздичное
anarcho-syndicalist анархо-синдикалист
ragman рагу
teeny подросток
joanna джоанна
hertford хартфорд
nubble небольшой
autonomist автономист
humidor камера
misanthropy мизантропия
velodrome велодром
rafting лесосплав
punctured проколотый
gravamen жалоба
sage-brush полынь
thick-headed тупоголовый
skylight верхний
asphalt асфальт
saratoga большой
quell подавлять
raisin изюм
understate преуменьшать
chartist чартист
stopper пробка
kate кейт
penology пенология
censorious строгий
shanghai опоив
unsearchable непостижимый
chartism чартизм
well-doing добрые
vast обширный
onfall нападение
alexandrine александрийский
laughing смеющийся
declare объявлять
unblown еще
revelation откровение
incorrupt неиспорченный
gabardine габардин
granulated сахарный
quest поиски
posthumous посмертный
refutable опровержимый
molar коренной
bedpost столбик
claiming скачки
recognizable могущий
richter шкала
sniper меткий
undying бессмертный
agrobiology агробиология
cassis информаци-
pugnacity драчливость
affreightment фрахтование
variant вариант
peach-coloured персикового
pyxis маленький
conjurer волшебник
runlet ручеек
unusual необыкновенный
parch слегка
inpayments поступление
athlete спортсмен
clergyman священник
eglantine роза
query вопрос
paralegal лицо
anti-tank противотанковый
cassia кассия
bombasine бомбазин
enfranchisement освобождение
pseud человек
altruism альтруизм
mock-heroic ироикомический
once один
tibbie тибби
soldering-iron паяльник
holography голография
majolica майолика
altruist альтруист
syrinx свирель
uxorious очень
fanfare фанфара
basics основы
pabular пищевой
doleful скорбный
figured фигурный
vitiate портить
driving-belt приводной
quern ручная
glacis гласис
magnum большая
shoddy шодди
manoeuvre маневр
all-metal цельнометаллический
prototypical прототипичный
serrated зубчатый
kayo нокаут
magnus магнус
perishable тленный
inflammability воспламеняемость
fleece руно
phosphate фосфат
technology техника
vaccine вакцина
fleecy покрытый
usufruct узуфрукт
litigation тяжба
boxcalf бокс
arachnoiditis арахноидит
ropeway канатная
oner редкий
bipolar двухполюсный
famed известный
gullible легковерный
expedite быстрый
arbitrament арбитраж
graphical графический
elsie элси
foreground передний
hesitant колеблющийся
disinheritance лишение
orison молитва
dumfries дамфрис
meritorious достойный
sail-plane планер
carmaths кармартеншир
prompt-book суфлерский
syrian сирийский
bread-crumb хлебный
uncrippled неповрежденный
fortnightly двухнедельный
impetuosity стремительность
muttony похожий
allopathy аллопатия
numskull олух
sci-fi рентгенограмма
side-winder удар
teeth мн
timber лесоматериалы
night-walker лунатик
slippage уменьшение
simulate симулировать
triage сортировка
inclusive включающий
collar воротник
cocainize впрыскивать
scabies чесотка
underwork работа
raison разумное
chest-note низкая
planless бесплановый
peasantry крестьянство
drachm драхма
impugnment оспаривание
putrefy гнить
brummie относящийся
sedimentation осаждение
invocation призыв
seventeen семнадцать
insufflator аппарат
gopster республиканец
alleyway союз
calf-knee вогнутое
teeup делать
inconvertible необратимая
intestine кишки
promulgation обнародование
assuagement успокоение
dusky сумеречный
pumice-stone бить
staves пребывание
underwood подлесок
convexo-convex двояковыпуклый
martinet сторонник
blocked замороженный
peseta песета
finger-tip кончик
moonstruck помешанный
lowermost самый
general-in-chief главнокомандующий
objection возражение
picturesque живописный
entrapment провоцирование
hertzian электромагнитные
interposal вставлять
tired усталый
hesitancy колебание
bramble ежевика
spaceship космический
torturous мучительный
sunlight солнечный
glass-dust наждак
gasification газификация
spiritualize одухотворять
brabble пререкания
vine-prop шпалера
queue косичка
dove-cot голубятня
shredder канцелярская
easel мольберт
overknee выше
adequate соответствующий
sixer шесть
bustle суматоха
cattleman пастух
southpaw спортсмен-левша
buckskin оленья
mosquito-craft торпедный
non-pollution система
impecunious нуждающийся
feudatory вассальный
lambskin овчина
long-drawn затянувшийся
shredded дробленый
ichneumon ихневмон
offal требуха
parky холодный
begone убирайся
only единственный
sardonyx сардоникс
adduction приведение
slovenian словенский
atticism изящество
collet коронка
netherlands нидерланды
accepted общепринятый
declaim произносить
assegai собрание
parly пармезан
testimony показание
alexandrite александрит
accepter тот
antilles антильские
cadger разносчик
coaler угольщик
harpoon гарпун
rutabaga брюква
swearing-in приведение
bermuda бермудские
kibbler дробилка
unfurnished немеблированный
gigantic гигантский
sober-blooded спокойный
kenyan относящийся
well-adjusted уравновешенный
bread-basket корзина
argentinean аргентинец
red-short красноломкий
showbiz шоу-бизнес
dryish суховатый
eye-service работа
inclusion включение
magnetomotive магнитодвижущая
unusable неподходящий
paris парис
diffluent растекающийся
deadfall западня
all-in-all все
greatest общий
rear-admiral контр-адмирал
unprovoked ничем
studied обдуманный
deerstalking охота
standardize стандартизировать
health-visitor патронажная
rethink пересматривать
accent ударение
meadow-sweet таволга
parka парка
lorry грузовой
paid-in уплаченный
shipmaster хозяин
meadow-saxifrage камнеломка
protuberance выпуклость
schooling школьное
plenishing домашняя
explosive взрывчатый
reuse снова
southerner южанин
record-player проигрыватель
spoke спица
pennant знамя
vagrancy бродяжничество
mittimus приказ
phosphorous фосфористый
stalemate пат
convection конвекция
corn-exchange хлебная
approved одобренный
licit законный
postman почтальон
would вспомогательный
food-card продовольственная
warrant ордер
middle-weight средний
unfeeling бесчувственный
numdah исчислимый
intrant вступающий
scifi научная
womanizer бабник
fire-squad противо
clangour резкий
banner-bearer знаменосец
conjunctive связывающий
wedded супружеский
raceme кисть
sniff сопение
conjunctiva конъюнктива
quiff челка
moose американский
schnapps шнапс
oology коллекционирование
backbite злословить
galvanism гальванизм
diplomacy дипломатия
latino выходец
soft-boiled сваренный
southerly южный
stringency строгость
eaves карниз
hairbreadth ничтожное
scarifier скарификатор
downer депрессант
legible разборчивый
munificence необыкновенная
imitator подражатель
ennoble облагораживать
storm-cloud грозовая
accessible доступный
particularity особенность
watch-spring часовая
anchorite затворник
rye-bread ржаной
one-armed однорукий
tachograph тахограф
neuropath страдающий
quiverful количество
plush плюш
steam-hammer паровой
sargasso саргассовая
sea-horse морской
unseasoned неприправленный
quiet спокойный
elver молодой
resigned покорный
napoleon название
intuitivism опухание
address адрес
bencher старшина
troll куплеты
preponderant преобладающий
engirdle англия
leadsman лотовой
balance-master эквилибрист
glitz блеск
chutney чатни
mirabel мирабел
particularism исключительная
glass-furnace стеклоплавильная
spark-coil индукционная
colza-oil сурепное
backdown отступление
gasiform газообразный
illegitimate незаконный
pastille пастилка
acclivous пологий
tactual осязательный
acknowledgement признание
high-minded благородный
dither дрожь
sending-off удаление
confront стоять
lunch-hour обеденный
unreasoning неразумный
onus бремя
cathartic слабительный
pinioned крылатый
illiterate неграмотный
topflight наилучший
intersection пересечение
pervade распространяться
bandana цветной
televisional телевизионный
receptivity восприимчивость
bowlder котелок
fire-lighter растопка
piranha пиранья
defection нарушение
price-list монополистическое
circumspective осматривающий
quixote дон-кихот
approachable доступный
aquiferous водоносный
drill-sergeant сержант-инструктор
proof-reading читка
muster-roll список
title-deed документ
war-time военное
derrick дерриккран
warder тюремный
discontinuation прерывать
incision разрез
methane метан
oil-colour масляная
cowardice трусость
warden начальник
wing-beat взмах
bursting взрыв
fatigue-dress рабочая
uvula язычок
mess-room сообщение
superstitious суеверный
off-position положение
oppugn возражать
vocalization применение
intermediation посредничество
indispensable необходимый
perforation перфорация
duvet пуховое
knock-out нокаут
playgoer театрал
tortoise-shell панцирь
unfulfilled невыполненный
record-holder обладатель
unsheathe вынимать
helioscope гелиоскоп
merrythought дужка
telecruiser передвижная
eulogist панегирист
jewel-box футляр
unsupported без
cold-frame теплица
tutorial наставнический
dickens черт
spoil добыча
preponderate перевешивать
snick надрез
blood-sucker пиявка
diphtheritic дифтеритный
chamois серна
snow-blind страдающий
acceptor акцептант
thread-mark водяной
approval одобрение
necromancy некромантия
pig-headed тупой
snide фальшивая
diplomaed имеющий
magnet магнит
explosion взрыв
tocher приданое
hercules геркулес
war-paint раскраска
kerchieft покрытый
automate автоматизировать
benzedrine бензедрин
tamable укротимый
vesper-bell вечерний
octahedral восьмигранный
knock-down нокдаун
amateurish непрофессиональный
ruche рюш
hop-picker сборщик
megascopic увеличенный
observance соблюдение
porcelain фарфор
taradiddle ложь
jest-book собрание
fastening связывание
bird-lime птичий
subcutaneous подкожный
belongings вещи
misappropriate незаконно
rainy дождливый
snivel хныканье
decompress уменьшать
experiment опыт
flour мука
fierce свирепый
waffle-iron вафельница
antler олений
boozy пьяный
flout презирать
apiarist пчеловод
gabionade линия
octahedron восьмигранник
quint квинта
quins острый
roller-bandage бинт
macintosh р
mass-spectrometer масс-спектрометр
rosabel розабел
destine назначать
edwardian времени
polysemantic полисемантический
glint вспышка
bleakness оголенность
flagstaff флагшток
land-rover легковой
amateurism дилетантизм
scion побег
matted спутанный
presto престо
averse нерасположенный
dessert-spoon десертная
deferred отсроченный
enlightenment просвещение
gaily весело
fuck совокупляться
loss-leader товар
respectively соответственно
irony ирония
matter вещество
bandage бинт
caterpillar гусеница
tennis-elbow теннисный
conjunction соединение
disquietude беспокойство
katrine кэтрин
jobbery использование
noise шум
spout носик
floss шелк-сырец
thatching сооружение
vestryman член
self-preservation самосохранение
product продукт
quilt стеганое
wastage изнашивание
armband нарукавная
gas-furnace газовая
stupidity глупость
reminder напоминание
occupational профессиональный
lover любовник
hyphen дефис
cadastral кадастровый
premier премьер-министр
quay причал
quill птичье
snipe бекас
noisy шумный
produce продукция
overgrow расти
vigesimal разделенный
postmeridian послеполуденный
uncreated существующий
undisturbedly покойно
ampas академия
sluggard лентяй
back-cloth задник
quag трясинный
infiltrate пропускать
spoof мистификация
adverbial наречный
lingerie дамское
proboscidean хоботный
fire-extinguisher огнетушитель
night-shift ночная
fuel топливо
spool шпулька
spook привидение
flora флора
marijuana марихуана
inexactitude неточность
decode расшифровывать
bulwark вал
governess гувернантка
dhoti набедренная
palmary заслуживающий
sceptic скептик
incontrovertible неоспоримый
deuterium дейтерий
defective несовершенный
function функция
delinquency проступок
raise поднимать
spoon ложка
used-up измученный
circumspection осторожность
musette волынка
quite вполне
pitcher кувшин
pliant гибкий
revere уважать
reverb искусственное
spoor след
top-hole первоклассный
overplay переигрывать
miscast поручать
comparison сравнение
piccaninny негритенок
pomposity помпезность
band-wagon фургон
peltry меха
pitched тщательно
quirt арапник
revert возвращаться
adventure приключение
field-night штаб-офицер
haymaking сенокос
redraw выставлять
equilibrist акробат
presupposition предположение
roughen делать
unagreeable неприятный
improve улучшать
slop-shop магазин
abdicate отрекаться
decoct приготовлять
aviso авизо
hastily поспешно
lavatory уборная
chinatown китайский
technique техника
represser угнетатель
troop отряд
shorthand стенография
amative влюбчивый
quirk игра
existentialism экзистенциализм
overmastering непреодолимый
emancipationist сторонник
quire десть
generous великодушный
detrimental приносящий
knavish мошеннический
existentialist экзистенциалист
floor пол
valenciennes валансьенские
volte-face поворот
gnome афоризм
manciple эконом
archimedean архимедов
back-country отдаленный
unblamable безупречный
spore спора
hopscotch детская
protozoa протозоа
transcalent теплопроводный
doctor доктор
gander гусак
saliva слюна
leonard леонард
proconsular проконсульский
crescent полумесяц
investor вкладчик
booze спиртной
dispiteous безжалостный
inflate надувать
deferral замедленный
lining подкладка
cautery прижигание
foment класть
equilibrium равновесие
flops столько-то
sport спорт
spring-clean производить
trope троп
harriot харриет
hedging-bill садовый
cluster кисть
dye-stuff красящее
bimetallic биметаллический
lieutenant лейтенант
mooch лентяйничать
peccant грешный
playroom детская
blowhole пузырь
quid кусок
reconstitute воссоздавать
stifle-joint душный
unfailing неизменный
vitriol купорос
counter-attack контратака
liable обязанный
quagmire болото
remittance пересылка
anemoscope анемоскоп
dock док
philippines филиппины
step-up повышающий
wolfram вольфрам
atmospherical атмосферные
mesmerist гипнотизер
open-eared внимательно
wicker-work плетение
opulence изобилие
syphon р
exclaim восклицать
ballet балет
courtesy учтивость
marquise маркиза
mesmerism гипнотизм
cartridge патрон
bran-new подстилка
diminutival уменьшительный
busker уличный
sabot деревянный
horrendous ужасный
bravado хвастовство
chouse мошенничество
ardent горячий
muslim муслин
palmate лапчатый
dethrone свергать
nudity нагота
ruble рубрика
vakeel представитель
subtraction вычитание
adventurist авантюрный
adventurism вызывающее
promote выдвигать
analects литературный
margravine жена
wanderer странник
moody легко
single-hearted прямодушный
thrower метатель
scholium комментарий
top-soil пахотный
uninhabited необитаемый
vulcanize вулканизировать
clause предложение
quiz насмешка
empathy сочувствие
schwa нейтральный
dodge избегать
consolidate укреплять
pupate окукливаться
pelagic пелагический
perplexed ошеломленный
synthetics синтетические
authenticity подлинность
libya ливия
midship мидель
fumigation окуривание
alto-cumulus высококучевые
deep-frozen свежезамороженный
phylogenesis филогенез
summer-time летнее
misrepresent представлять
quit увольнение
pluck дерганье
quip саркастическое
medical врачебный
menthol ментол
miscall неверно
laminate расщеплять
kitchen-ware кухонные
megabyte мегабайт
statecraft искусство
headstone могильный
peerage сословие
foot-race состязание
fumy дымный
acquirer покупатель
run-in схватка
z-bar зетовая
biltong провяленное
blender смеситель
feathery похожий
orphic орфический
decolo обесцвечивающее
bias уклон
fume дым
pompadour высокая
koh-i-noor кохинор
ravenous очень
jacquerie жакерия
acquired благоприобретенный
pathless бездорожный
seminiferous семеносный
command-module основной
sleuth собака-ищейка
doff снимать
ballad баллада
winsome привлекательный
fossick шарить
schoolmasterly наставнический
tetter лишай
scollop убежище
newsflash короткое
ampere ампер
dauphin дофин
heel-and-toe скороход
purveyance поставка
clod-poll глупый
cronyism назначение
paterfamilias отец
mockery издевательство
district район
explicatory ясный
unwished нежеланный
vortical вихревой
predestine предопределять
full полный
destiny судьба
interrelation взаимоотношение
garden-bed грядка
battledore валек
bice бледно-синяя
ganglion ганглий
delict деликт
mica слюда
resistant сопротивляющийся
aesthete эстет
quod что
mice мн
byelorussian белорусский
grocer торговец
flummox смущать
lady-love возлюбленная
megalomaniac человек
mid- mid-
oil-meal картина
indigestible неудобоваримый
book-mark закладка
inflame воспламеняться
socialization обобществление
earthly-minded чрезмерно
misname неверно
elysium элизиум
witchcraft колдовство
convention собрание
off-shore находящийся
gangling долговязый
loupe лупа
leg-pull попытка
premenstrual предменструальный
bibb затвор
pale-complexioned бледнолицый
licking порка
manage руководить
fund запас
seedsman торговец
thereabout поблизости
funk испуг
mesmerize гипнотизировать
wedding-cake свадебный
whiplash ремень
incur подвергаться
plump полный
louse вошь
cabbage кочанная
dilettante дилетант
incut врезка
incus наковальня
phial склянка
rubbery резиновый
orangeade оранжад
plume перо
sun-dog ложное
bisque раковый
doughboy клецка
hara-kiri харакири
vitrify превращать
all-wool чистошерстяной
plumb отвес
in-and-out непостоянная
truncate срезать
premise пред
unselfish бескорыстный
midl мидлотиан
mutable изменчивый
smelling-bottle флакон
bier похоронные
controversial спорный
premiss награда
lousy вшивый
non-verbal невербальный
tenant владелец
reciprocation возвратно-поступательное
chicle чикл
negro-head сорт
deputy депутат
taxable облагаемый
candelabrum канделябр
picaresque авантюрный
plunk звон
lappish саамский
muffin горячая
chlorosis хлороз
height-indicator высотомер
preventive предупредительный
whimper хныканье
re-fuse вновь
mich мичиган
provide снабжать
zoic содержащий
plumy перистый
putting-green ровная
phenol фенол
sectarian сектантский
post-town город
tigrish сезам
fust стержень
muffle муфель
paula пола
ear-drop капли
inhumanity бесчеловечность
bibliofilm микрофильм
bigg четырехрядный
paperwork оформление
septentrional северный
unostentatious ненавязчивый
foster-father приемный
teaching обучение
dome купол
endogamy эндогамия
liquidizer соковыжималка
cross-road пересекающая
dona женщина
fuse плавка
wholesale оптовая
unrepeatable неповторимый
cellphone клеточная
interphone межпланетный
solidarity солидарность
tumble падение
macaco лемур
duramen сердцевина
inboard расположенный
monographic монографический
bifocal бифокальный
contradiction противоречие
fig-tree фиговое
depute делегировать
fuss нервное
nescience незнание
funding консолидирование
doll долл
barents баренцево
initial начальный
calomel каломель
fury неистовство
incisive острый
backdoor черный
biff сильный
dole пособие
orphan сирота
miff легкая
aphoristic афористичный
redress исправление
datable поддающийся
mien мина
rhododendron рододендрон
marmot сурок
furl свертывание
pouter недовольный
dolt дурень
three-per-cents трехпроцентные
door дверь
quick быстрый
sabre сабля
doom рок
peccary пекари
pincette щипчики
oddball чудак
encomium панегирик
burster разрывной
zonk треснуть
seigneur феодальный
knifeman убийца
denote означать
maison небольшой
papulous папулезный
zone зона
minutiae мелочи
non-term перерыв
cabbala каб
semi-skilled полуквалифицированный
amiable дружелюбный
divalent двухвалентный
leister острога
particularize подробно
particular специфический
wharfage причальный
moony похожий
done разгромленный
upper-cut апперкот
pause пауза
kcal килокалория
derringer небольшой
cavalryman кавалерист
ample обильный
peculation растрата
superman сверхчеловек
monographer автор
jewess еврейка
deuced чертовский
mike майк
progesterone прогестерон
unalloyed беспримесный
outcry громкий
incog инкогнито
bike мотоциклист
egg-flip яичный
bench-warrant распоряжение
intravenous внутривенный
oops система
purposeless бесцельный
amply обильно
manpower рабочая
ideolect индивидуальный
inaccessibility недоступность
wigwag сигнализация
unbelievable невероятный
herbal травяной
bone-meal костоправ
wigwam вигвам
bizonal двухзональный
cumber затруднение
flagship флагманский
wheeling езда
hen-harrier лунь
zoom горка
dope густое
eluvium элювий
nephrite нефрит
unbalance лишить
postmistress женщина
ear-drum барабанная
splendour блеск
trilateral трехсторонний
double-decker двухпалубное
barbados барбадос
apartment комната
booby болван
roseola розеола
bombardier бомбардир
exactor вымогатель
dost министерство
mima майма
doss кровать
causative причинный
mime мим
inosculate соединять
londonism местное
fuze пух
conceivably предположительно
unfathomable неизмеримый
disorganization дезорганизация
avidity жадность
bine побег
doth страдающий
putlog палец
sparrow-hawk ястреб-перепелятник
patsy простофиля
recipience получение
assemblyman член
declivity покатость
bind вязать
dote любить
milt семенники
conceivable мыслимый
orangery апельсиновый
tractor-driver тракторист
afterlight задний
prevention предотвращение
deer-hound шотландская
letterhead печатный
cuckoo-clock часы
dorr дорсет
sequoia секвойя
torrefy сушить
dorp деревня
mile миля
nineteen девятнадцать
demoralization деморализация
mild мягкий
mourning скорбь
bilk обманывать
milk молоко
walking-race соревнования
bill закладная
dorm дремота
dork мужлан
caracole караколь
peninsular полуостровной
bile желчь
mill мельница
blackamoor негр
patty пэтти
tarnation тусклость
dose доза
open-door открытый
transpontine расположенный
unconcealed нескрываемый
lesbian лесбосский
profiling копировальный
clothes-press комод
run-up разбег
adult взрослый
nolens букв
pluralistic множественность
bushman бушмен
dory солнечник
recipiency получение
stockist фирма
relative родственник
scutate щитовидный
comminuted осколочный
ululate выть
commonage право
bios базовая
dour суровый
hoggin крупный
tideway направление
bequeath завещать
hardsell усиленное
mint мята
leftism левые
outre преступающий
dove голубь
minx дерзкая
chaotic хаотический
altar-piece запрестольный
annoyed раздраженный
towing-line бечевник
mine абсолютная
mind разум
stock-farm животноводческое
bint девушка
cut-rate сниженный
monastic монастырский
retailer розничный
waitress официантка
branchiae жабры
adjoining прилегающий
automatical автоматизация
operational операционный
mink норка
involve завертывать
elude ускользать
leftist член
minn миннесота
obsequious раболепный
ham-fisted неуклюжий
retrograde направленный
sedition подстрекательство
skyway воздушная
hellene эллин
ice-yacht буер
foot-fault потеря
freckle веснушка
vivisect подвергать
telegraph-post телеграфный
libia сладострастный
branchial жаберный
doty пораженный
agriculturalist сельское
feather-brain вертопрах
mis- mis-
stocking чулок
perdition гибель
hopefulness оптимизм
paralyze парализовать
latter-day современный
down даун
launching пусковая
communicatory информационный
luncheonette легкая
faculty способность
shifting непостоянный
arcuated аркообразный
bandbox картонка
habit привычка
navigational навигаторский
telegraph-pole телеграфный
bird птица
black-ball забаллотировать
meteorite метеорит
criminally преступно
oil-paper промасленная
back-sight обратное
dyslexic неспособный
fortitude сила
lunacy безумие
dyslexia дислексия
histiology гистология
cajole льстить
monty монти
self-educated выучившийся
presidium президиум
retrenchment сокращение
mips миллион
multifold многократный
nohow никак
table-hop подсаживаться
switch-plug штепсель
roofing кровельный
theatricality театральность
month месяц
floweret цветочек
groundling донная
pretentious претенциозный
propitiation примирение
solvent растворитель
vernacularism местное
chuck зажимный
brainwashing промывание
divisive сеющий
impossibility невозможность
synthesizer синтезатор
triclinium триклиний
winkle береговичок
bidder выступающий
flowered украшенный
recommence возобновлять
whipping-top волчок
song-bird певчая
tremulant дрожащий
title титульный
lather мыльная
mist легкий
miss промах
staffing кадровое
dispenser фармацевт
miry топкий
rowdyism хулиганство
disseize различие
lathee окованная
hogget молодой
mirv разделяющаяся
chuff грубиян
aqueduct акведук
bite укус
busily деловито
egoistic эгоистичный
herbicide гербицид
intercolonial межколониальный
doze дремота
la-di-da вызывающий
retry снова
misc разнообразный
soul-searching самокритический
cryogenics физика
mirk зеркало
undersell продавать
custom обычай
retro ретро
bird-dog собака
abode жилище
biro шариковая
permission позволение
barracoota барракуда
squirearchy аграрии
depreciatingly пренебрежительно
bisk висмут
defrock расстричь
eastwards легкий
henry генри
nutation наклонение
oneness единство
arduous трудный
interpret объяснять
mire трясина
behoove следовать
cheater мошенник
self-feeder самоподающий
equipollent равный
gardenia гардения
saber соболь
synergy совместные
gloatingly злорадно
bellows воздуходувные
irresistibility неотразимость
marrowfat горох
convert новообращенный
well-made хорошо
charisma божий
blue-book синяя
division раз
crimean крымский
impaired замедленный
savanna саванна
jimson дурман
psychosomatic психосоматический
usually обычно
unrecorded незафиксированный
hydroplane глиссер
atomize распылять
